City,Latitude,Temperature,Humidity,Cloudiness,Wind_Speed
Cape Town,-33.93,69.8,64,20,19.46
Rumoi,43.93,19.4,79,75,6.93
Torbay,47.66,21.2,67,90,9.17
Luwuk,-0.95,89.81,68,20,5.17
Birjand,32.86,53.6,22,40,16.11
Shahreza,32.01,42.42,43,0,6.73
Pisco,-13.71,69.8,83,0,3.36
Georgetown,6.8,73.4,94,75,4.7
Ayr,55.46,46.4,93,40,11.41
Dikson,73.51,14.3,95,80,24.4
Bredasdorp,-34.53,69.8,77,92,8.05
Komsomolskiy,67.55,24.83,88,88,24.29
Klaksvik,62.23,42.8,100,92,18.34
Kokopo,-4.34,79.5,100,88,9.64
Mount Gambier,-37.83,92.28,35,24,3.71
Puerto Ayora,-0.74,74.51,100,76,7.63
Kodinsk,58.6,-11.54,56,36,5.95
Ossora,59.24,33.29,89,32,28.77
Colares,38.8,47.44,75,0,12.75
Maiduguri,11.84,55.92,44,0,8.97
Saint-Francois,46.42,39.2,93,90,3.36
Egvekinot,66.32,0.89,71,56,2.48
Kaitangata,-46.28,68.48,100,92,5.73
Cabo San Lucas,22.89,60.8,26,5,5.82
Burnie,-41.05,70.37,91,64,11.65
Bambanglipuro,-7.95,80.09,100,48,4.72
Kruisfontein,-34.0,66.14,100,92,2.26
Hilo,19.71,61.81,83,90,6.93
Khirkiya,22.17,75.14,39,0,5.5
New Norfolk,-42.78,78.8,69,75,13.87
Mehamn,71.03,26.13,87,76,9.98
Pedernales,0.07,71.58,100,92,3.71
Estacion Coahuila,32.19,54.45,15,1,5.82
Saint-Philippe,45.36,12.54,46,1,11.41
Mogadishu,2.04,82.4,74,75,16.11
Kahului,20.89,70.3,78,40,8.05
Ozinki,51.2,-2.9,77,0,11.43
Kamyshevatskaya,46.41,24.29,100,76,24.52
Padang,-0.92,80.54,100,32,8.97
Namibe,-15.19,76.53,100,44,3.6
Natal,-5.81,77.0,88,75,3.36
Moscow,46.73,38.7,86,90,6.93
Necochea,-38.55,70.1,64,48,14.0
Bontang,0.12,86.48,86,20,8.75
Karmala,18.41,76.13,47,0,4.61
Dunedin,-45.87,70.82,87,44,3.38
Bulalacao,13.7,74.15,100,92,3.15
Fort Nelson,58.81,-2.21,84,90,2.71
Alofi,-19.06,77.0,88,92,9.17
Manoel Urbano,-8.84,75.32,94,48,2.15
Ketchikan,55.34,34.41,86,90,5.73
Rawatsar,29.26,61.64,94,0,4.61
Bosaso,11.28,73.4,64,40,3.36
Carnarvon,-30.97,62.4,85,44,7.63
Chokurdakh,70.62,-16.13,72,80,3.49
Panama City,30.16,58.05,77,20,8.05
Chenzhou,25.81,33.92,100,100,4.38
Thaba Nchu,-29.2,66.2,77,0,5.82
Qinhuangdao,39.94,23.39,38,56,4.27
Sur,22.57,72.03,96,0,1.7
Atlantic Beach,30.33,58.44,82,40,9.17
Joaima,-16.65,66.9,97,0,4.27
Mbigou,-1.9,68.07,96,88,2.71
Geraldton,49.72,33.8,93,90,9.17
Mahebourg,-20.41,84.2,74,75,11.41
Cabedelo,-6.97,77.0,78,20,4.7
Tra Vinh,9.93,88.23,65,48,5.06
Arraial do Cabo,-22.97,72.8,100,92,7.52
Payo,-3.75,93.23,51,8,12.44
Vilyuysk,63.75,-9.6,68,64,3.38
Bud,62.91,30.87,92,0,9.17
Norman Wells,65.28,-31.01,66,75,2.24
Eureka,40.8,48.51,75,90,18.34
Zhezkazgan,47.8,-14.81,91,0,29.08
Sneek,53.03,38.48,100,90,6.93
Singaparna,-7.35,79.68,64,88,4.38
Faribault,44.3,32.94,80,1,14.99
Patacamaya,-17.23,38.82,97,12,3.04
Avera,33.19,51.51,61,90,4.7
Thompson,55.74,-9.41,76,90,9.17
Urucara,-2.54,73.43,96,44,2.37
Bubaque,11.28,71.6,37,88,6.93
Juegang,32.31,38.24,100,92,13.67
Muravlenko,63.79,7.64,84,76,19.04
Lorengau,-2.02,83.87,100,68,17.81
Severo-Kurilsk,50.68,30.27,98,56,9.19
Kropotkin,45.43,23.84,76,76,18.7
Margate,-43.03,77.0,73,40,14.99
Lasa,34.92,53.4,76,40,9.17
Victoria,5.28,88.84,66,75,4.7
Meulaboh,4.14,79.95,100,44,3.38
Bereda,43.27,39.2,100,20,3.36
Safranbolu,41.25,32.0,81,75,2.24
Caravelas,-17.73,78.83,100,64,10.42
San Cristobal,-0.39,51.8,93,75,9.17
Slobidka,48.42,21.2,100,90,8.95
Munirabad,15.28,79.82,62,0,8.52
Aswan,24.09,48.2,49,0,3.36
Hasaki,35.73,41.7,24,20,25.28
Batasan,14.89,81.79,69,75,4.7
Boa Vista,2.82,78.8,74,0,13.87
Trinidad,-33.52,70.23,64,92,12.33
Saint George,39.45,37.4,86,40,5.82
Bambous Virieux,-20.34,84.2,74,75,11.41
Ouro Fino,-22.28,64.25,96,68,4.94
Vila,45.18,40.14,100,90,2.24
Mahibadhoo,3.78,81.98,100,0,8.19
Kunming,25.04,60.8,23,20,29.08
Sumenep,-7.02,85.58,86,76,19.26
Isangel,-19.55,76.35,100,92,9.75
Coahuayana,18.62,59.21,82,8,3.15
Putyatino,54.16,5.48,77,56,13.11
Ilulissat,69.22,12.2,72,80,4.7
Winneba,5.35,77.0,94,0,5.82
Upernavik,72.79,-3.53,100,12,4.38
Tyukhtet,56.54,-24.41,37,24,3.71
Podgornoye,57.79,-12.57,61,20,6.73
Piopio,-42.79,51.8,93,0,2.71
Nara,34.68,40.53,56,75,13.87
Gizo,31.8,49.53,87,40,12.75
Ancud,-41.87,43.32,85,8,2.15
Huarmey,-10.07,60.47,91,0,2.93
Forestville,48.74,1.4,70,40,11.41
Vrises,35.49,46.4,81,40,5.95
Tongren,27.72,26.36,96,92,4.27
Yelizovo,53.19,32.0,82,40,11.18
Hithadhoo,-0.6,82.65,100,32,7.96
Road Town,18.42,77.0,73,20,16.11
North Platte,41.12,17.6,85,1,5.82
Agirish,61.92,19.07,69,92,9.98
Tiruchchendur,8.48,82.47,65,0,12.77
Vanimo,-2.67,84.18,100,56,20.6
Thunder Bay,48.41,35.6,74,90,11.41
Aba,5.11,68.0,94,0,2.24
Kupang,-10.16,84.2,83,90,13.87
Sioux Lookout,50.1,25.54,86,90,8.05
Airai,-8.93,76.58,78,92,4.05
Okhotsk,59.36,19.02,72,64,7.96
Tiksi,71.64,-25.22,38,20,2.93
Preobrazheniye,42.9,7.28,44,0,7.18
Arica,-18.48,67.8,68,0,1.7
Beira,43.2,39.2,100,20,3.49
Pevek,69.7,16.1,79,76,26.75
Kungurtug,50.6,-16.98,60,20,1.25
Shieli,44.18,-6.05,44,0,22.62
La Romana,18.43,77.0,78,40,18.34
Mashhad,36.3,39.2,60,90,6.93
Kribi,2.94,70.77,100,0,3.38
Port Hawkesbury,45.62,14.0,78,90,4.7
Guerrero Negro,27.97,49.22,95,0,5.61
Taguatinga,-15.83,66.2,93,40,3.36
Cockburn Town,21.46,75.95,100,68,33.69
Natchitoches,31.76,58.28,87,90,4.7
Ilam,33.64,44.6,75,75,1.92
Fortuna,38.18,46.45,56,0,6.93
Turukhansk,65.8,-9.2,68,56,16.58
Gombe,10.28,60.47,51,0,7.96
Luderitz,-26.65,62.09,79,0,19.48
Peru,41.33,48.15,46,90,23.04
Portland,45.52,43.5,100,90,14.99
Terrace,54.52,28.4,79,75,9.17
Iqaluit,63.75,-20.21,75,75,3.94
Baikunthpur,23.26,70.68,37,0,4.05
Miram Shah,33.01,45.03,87,56,3.15
Swan Hill,-35.34,87.6,82,0,7.18
Abeche,13.83,61.28,33,8,16.35
Nyuksenitsa,60.41,22.94,89,88,19.71
Bustehrad,50.16,33.8,100,90,2.24
Gannan,47.92,0.93,72,8,13.0
Lerwick,60.15,41.9,80,80,20.8
Port Macquarie,-31.43,82.4,65,88,21.92
Nesna,66.2,6.8,92,75,4.83
Ibra,22.69,70.95,52,0,2.71
Laguna,27.52,48.72,51,0,4.16
Sao Miguel do Iguacu,-25.35,73.26,94,0,5.82
Sapulpa,36.0,53.2,76,90,12.21
Salinas,36.67,43.72,87,1,4.94
Evensk,61.92,34.32,90,92,22.5
Rorvik,64.86,30.2,100,40,4.7
Sandy Bay,-42.9,77.0,73,40,14.99
Ankazoabo,-22.29,82.43,61,0,9.19
Narwar,25.64,72.03,44,0,4.5
Umm Kaddadah,13.6,51.56,44,0,16.46
Viedma,-40.81,73.07,64,0,18.81
Poya,-21.35,78.74,100,92,14.0
Polovinnoye,54.79,-11.4,77,0,13.56
Kangaatsiaq,68.31,18.17,100,88,6.29
Hambantota,6.12,80.85,100,92,6.96
Houlton,46.13,-11.91,83,1,5.73
College,64.86,-14.16,68,90,2.93
Mikun,62.35,20.6,86,92,16.24
Mountain Home,43.13,32.38,100,75,5.82
Darhan,49.49,-6.45,54,36,4.38
Kjollefjord,70.95,26.13,87,76,9.98
Aksarka,66.56,19.25,82,92,22.5
Paris,48.86,38.7,100,90,3.36
Sapa,14.32,80.6,100,90,8.05
Ures,30.73,48.9,80,0,7.63
Auray,47.67,37.4,100,8,2.24
Leningradskiy,69.38,4.31,99,8,20.94
Palora,-1.7,54.48,100,0,2.37
Tommot,58.97,-16.76,69,48,6.4
Bang Saphan,11.21,80.6,88,75,10.29
Tungor,53.39,4.22,87,56,32.68
Vestmannaeyjar,63.44,37.7,99,88,4.38
Antalaha,-14.9,79.37,96,88,10.31
Tasiilaq,65.61,24.8,79,80,4.7
Meiganga,6.52,64.43,39,0,6.4
Teya,21.05,73.4,83,75,5.82
Saint-Joseph,43.56,51.21,81,90,2.24
Nantucket,41.28,28.54,73,20,5.82
Nikki,9.94,57.77,60,12,5.5
Lagoa,37.14,50.0,57,0,6.93
Atar,20.52,48.05,74,0,5.17
Bilma,18.69,48.27,83,88,5.5
Hualmay,-11.1,62.63,87,12,3.94
Tromso,69.65,23.0,92,90,6.93
Dormidontovka,47.77,-2.4,72,48,14.67
Decatur,35.51,48.85,39,90,11.41
Gigmoto,13.78,73.88,100,92,5.61
East London,-33.02,77.0,69,20,9.17
Kandrian,-6.21,84.0,78,80,7.29
Mgandu,-5.96,68.07,78,24,4.38
Pandharpur,17.68,77.48,50,8,7.63
Kaeo,-35.1,75.5,69,36,12.66
Karratha,-20.74,104.66,23,20,11.54
Puerto Ayacucho,5.66,73.97,86,64,2.59
Mitu,36.2,31.04,92,92,2.93
Kysyl-Syr,63.9,-14.06,63,48,3.27
Vao,59.1,33.47,98,92,4.94
Alamos,-36.9,65.96,89,88,12.77
Pitimbu,-7.47,77.0,78,20,4.7
Rumford,44.55,9.01,77,1,2.93
The Valley,18.22,78.42,98,92,19.71
Bressanone,46.72,29.75,86,75,0.69
Oskemen,49.96,-27.41,74,20,4.47
Benghazi,32.12,58.35,100,48,1.25
Vygonichi,53.1,21.2,100,20,11.18
Ambon,47.55,33.8,81,0,3.71
Waingapu,-9.65,79.77,88,88,13.78
San Patricio,-26.98,76.31,89,64,4.05
Marawi,8.0,75.5,96,76,3.27
Alice Springs,-23.7,98.6,20,92,18.34
Mudgee,-32.6,70.82,100,76,3.71
Igarka,67.47,-4.79,82,68,17.81
Sola,62.78,33.8,100,90,4.7
Mpongwe,-13.51,72.17,66,0,5.06
Vardo,39.62,30.79,79,1,5.17
Aklavik,68.22,-9.41,69,90,7.29
Pirovskoye,57.63,-17.43,77,64,5.95
Sandpoint,48.28,32.63,88,90,2.71
Anori,-3.74,74.87,98,48,1.59
Goure,13.98,60.11,37,80,13.44
Faanui,-16.48,83.1,100,0,13.0
Hovd,63.83,34.74,86,75,2.24
Pervomayskiy,53.24,4.85,79,56,12.1
Balad,-6.76,82.47,100,48,17.81
Ntungamo,-0.87,67.8,92,0,3.6
Yerofey Pavlovich,53.97,-3.08,46,24,5.73
Kvitok,56.08,-9.6,68,64,6.85
Tura,25.52,64.83,71,0,3.38
Bathsheba,13.22,77.0,78,40,17.22
Kattivakkam,13.22,86.0,45,40,6.93
Kodiak,39.95,33.8,86,1,8.05
Wum,6.39,55.92,65,0,2.37
Yaan,7.38,67.53,39,0,8.86
Sabang,13.72,74.15,100,92,3.15
Kazachinskoye,57.69,-16.62,74,64,5.61
Pombia,45.65,41.83,100,90,2.24
Honningsvag,70.98,26.09,100,12,8.97
Hofn,64.25,40.58,99,92,9.19
Kloulklubed,7.04,87.69,59,90,8.05
Port Elizabeth,39.31,33.94,80,1,4.7
Banfora,10.64,63.57,37,0,9.64
Xining,36.62,26.09,49,8,3.15
Concordia,-31.4,76.4,70,92,14.0
Mirabad,28.27,56.69,34,0,3.94
Dalmatovo,56.26,0.03,77,44,13.44
Terre-de-Bas,15.85,71.6,88,20,18.25
Cap-aux-Meules,47.38,17.22,100,0,14.67
Moron,10.49,73.4,88,20,3.83
Saint-Georges,46.12,-0.15,64,20,3.71
Ayorou,14.73,59.52,55,0,12.21
Lukh,36.76,42.78,81,20,3.94
Amalapuram,16.58,81.48,66,0,7.85
Araouane,18.9,49.85,51,0,3.15
Atencingo,18.51,53.09,86,20,5.17
Esso,55.93,12.72,89,36,4.27
Bograd,54.22,-23.81,67,20,3.94
Osoyoos,49.03,28.78,92,75,1.81
Mackay,53.65,1.4,84,90,2.24
Eyl,7.98,74.55,91,32,14.9
Varzelandia,-15.7,66.86,97,12,3.94
Nome,30.04,60.76,93,90,11.41
Yingcheng,30.93,28.4,92,90,4.47
Kavieng,-2.57,84.0,100,56,13.78
Maluanluan,13.1,74.69,100,92,3.83
Flinders,-34.58,80.6,74,88,17.22
Broken Hill,-31.97,102.14,24,0,8.97
Port Blair,11.67,81.75,100,32,9.53
Celestun,20.87,73.92,96,44,14.23
Erzin,36.95,42.8,100,40,2.24
Umea,63.83,19.4,92,90,5.82
Paamiut,61.99,27.98,99,68,30.33
Awbari,26.59,30.27,71,0,6.17
Isa Khel,36.67,42.78,81,20,3.94
Grua,46.83,27.25,100,40,1.12
Champerico,16.38,64.4,82,5,3.6
Attingal,8.7,86.0,70,20,8.05
Sambava,-14.27,80.67,100,88,14.34
Zyryanka,65.73,-18.15,79,76,7.4
Yulara,-25.24,105.8,15,40,18.34
Suntar,62.16,-7.31,61,64,6.51
Nemuro,43.32,23.0,62,75,2.24
Urusha,54.05,-1.73,44,8,7.18
Shache,38.42,22.8,68,80,6.17
Palana,59.08,26.4,78,88,11.43
Fontem,5.49,57.72,92,8,2.71
Tazovskiy,67.47,11.73,76,92,18.37
Sakleshpur,12.94,80.85,36,0,2.93
Bonthe,7.53,75.41,100,0,3.38
Lodja,-3.52,68.88,99,76,3.04
Ipswich,-27.62,85.77,45,8,18.34
Vagur,61.47,46.43,94,92,31.12
Sao Joao da Barra,-21.64,78.47,99,8,1.48
Prince George,53.92,15.8,100,90,6.93
Souillac,45.6,35.76,98,75,2.24
Tomari,47.76,11.96,87,32,13.67
Tabou,4.42,76.53,100,24,1.92
Carbonia,39.17,46.4,93,0,4.7
Chumikan,54.72,1.07,51,44,15.68
Amahai,-3.31,89.18,89,56,8.97
Clyde River,70.47,-29.21,73,1,3.36
Flin Flon,54.77,0.62,72,88,11.32
San Juan,18.47,77.0,78,75,12.75
Salalah,17.01,75.2,44,0,2.24
Buchanan,5.88,75.2,94,90,6.93
Show Low,34.25,21.06,45,1,5.82
Khandyga,62.65,-36.56,70,68,3.15
Severo-Yeniseyskiy,60.37,-19.01,54,20,3.15
Constitucion,23.99,37.83,90,0,2.71
Vredendal,-31.68,63.93,87,80,3.6
Zhanaozen,43.35,14.21,69,24,20.6
Caltagirone,37.24,52.68,66,75,3.36
Mahon,51.89,51.8,100,75,12.75
Santiago del Estero,-27.8,71.58,98,68,4.72
Moyale,3.52,75.5,20,0,4.5
Manicore,-5.81,74.87,95,12,2.15
Linjiang,41.81,1.25,66,0,3.49
Uberlandia,-18.92,66.77,93,56,6.4
Broome,52.47,35.55,100,36,8.05
Samarai,-10.62,80.9,100,92,26.75
Hamilton,32.3,57.2,50,75,17.22
Coquimbo,-29.95,57.2,87,0,3.36
Buta,2.79,70.64,63,0,5.17
Namatanai,-3.66,83.06,100,44,12.21
Kitgum,3.3,72.08,47,24,2.15
Kissamos,35.49,46.4,81,40,20.38
Shingu,33.72,41.0,41,40,21.92
Formosa,-26.19,77.0,100,90,2.24
Qingdao,36.09,30.2,28,0,8.95
Trindade,-16.66,69.8,88,0,3.36
Yokaichi,35.11,39.2,64,20,29.97
Zastron,-30.3,59.21,100,92,4.16
Kramat,-7.04,83.42,87,92,13.67
Mirzapur,25.15,66.95,90,0,4.61
Moerai,-22.43,77.3,100,48,3.49
Abu Dhabi,24.47,63.36,77,0,4.7
Noumea,-22.28,80.6,74,40,16.11
Katobu,-4.94,90.8,70,68,5.84
Batagay-Alyta,67.8,-26.88,38,24,2.71
Fethiye,36.62,48.2,39,0,16.11
Lebyazhye,59.96,33.8,100,90,4.47
Ulundi,-28.29,68.48,84,20,3.27
Qaqortoq,60.72,32.0,100,8,3.36
Touros,-5.2,78.78,86,80,6.29
San Angelo,31.46,57.2,82,90,3.36
Akom,6.86,70.05,78,0,4.27
Quatre Cocos,-20.21,84.2,74,75,11.41
Grimshaw,56.19,-2.21,77,90,3.36
Kyabram,-36.31,85.31,75,44,8.41
Mount Pleasant,33.16,59.7,77,75,5.82
High Level,58.52,-13.01,83,1,9.17
Mvangue,2.97,67.53,96,68,2.59
Tezu,27.93,52.28,75,20,1.81
Ekhabi,53.51,4.22,87,56,32.68
San Pedro,-33.68,68.52,91,100,9.08
Santa Cruz,36.97,44.83,87,1,2.37
Kurumkan,54.33,-25.62,34,64,2.15
Boddam,57.47,42.8,87,90,12.75
Sarkand,45.41,-20.27,83,8,3.83
Bandarbeyla,9.49,74.28,100,100,16.24
Phan Thiet,10.93,84.5,74,12,11.99
Mabaruma,8.2,77.12,84,68,5.73
Iquique,-20.22,68.0,68,0,4.7
Gaurnadi,22.97,72.62,60,0,8.08
Oussouye,12.49,67.08,45,0,6.93
Bridlington,54.08,36.84,86,76,9.17
Sorland,67.67,17.6,92,0,5.39
Lavrentiya,65.58,3.0,100,44,3.04
Cidreira,-30.17,69.15,76,24,12.44
Horsham,-36.71,95.25,40,8,3.94
Praia da Vitoria,38.73,57.2,87,75,14.45
Kudahuvadhoo,2.67,82.25,100,0,7.4
Ahipara,-35.17,77.7,68,80,7.85
Utamysh,42.41,32.0,100,90,2.24
